topic,topic_repr,assigned_theme,theme_match_score
68,หน่วย รัฐวิสาหกิจ สัมปทาน รัฐ งาน คู่ ราชการ อ้อม สัญญา เงิน,แนวนโยบายแห่งรัฐ,1
69,อรรถคดี พิพากษา อิสระ อิสสระ วุฒิสภา พระปรมาภิไธย สัญชาติ พิจารณา ออรรถคดี บุคคล,นิติบัญญัติ,1
70,อธิปไตย ประมุข ชน อำนาจ ปวง ไทย ปวงชน พระมหากษัตริย์ มหากษัตริย์ ธรรมนูญ,สถาบันพระมหากษัตริย์,1
71,กราบบังคมทูล วิสามัญ พระบรมราชโองการ ยื่น ร้อง ร้องขอ สภา สอง รัฐสภา สนอง,แนวนโยบายแห่งรัฐ,1
72,พรรค เมือง ลา ภาพ สิ้นสุด มติ สมาชิกภาพ คุก ห้าม ลหุโทษ,อื่น ๆ (emergent),0
73,เดือน ประจำ ราชการ เมือง เงิน ตำแหน่ง ประจํา ดำรง ผู้ดํารงตําแหน่ง พนักงาน,อื่น ๆ (emergent),0
74,ประชามติ ทูลเกล้า ร่าง พระราชดำริ ถวาย พระบรมราชโองการ ออกเสียง ประชาชน พระปรมาภิไธย พระมหากษัตริย์,สถาบันพระมหากษัตริย์,1
75,สืบ ราชสันตติวงศ์ มณเฑียรบาล พระพุทธศักราช กฎ สืบราชสมบัติ ทราบ รัฐสภา พระรัชทายาท นัย,สถาบันพระมหากษัตริย์,1
76,อำนาจ พระมหากษัตริย์ อำนาจบ นิติบัญญัติ ศาล บวิหาร บริหาร ตุลาการ รัฐมนตรี ดูแล,บริหาร,2
77,องคมนตรี ตำแหน่ง ดำรง แผ่นดิน บริหาร คณะ รัฐมนตรี ปฏิรูปการปกครอง วาระ ทำ,บริหาร,2
78,ตรา พระราชกำหนด อากร ด่วน ภาษี ลับ เงินตรา ถัด อนุโลม รักษา,อื่น ๆ (emergent),0
79,ปฏิรูป ชาติ กรรมาธิการ สภาปฏิรูป ร่าง คณะ แนะ ขับเคลื่อน สงบแห่ง เสนอ,อื่น ๆ (emergent),0
80,เครื่อง ราชอิสริยาภรณ์ ฐานันดรศักดิ์ สถาปนา พระราชอำนาจ ถอดถอน คืน พระราชทาน พระมหากษัตริย์ อิสริยาภรณ์,สถาบันพระมหากษัตริย์,1
81,ฝักใฝ่ เจ้าหน้าที่ พนักงาน ประจำ รัฐวิสาหกิจ พรรค เดือน เมือง องคมนตรี ฝึก,สถาบันพระมหากษัตริย์,1
82,ปวงชน ผูกมัด ไทย บริสุทธิ์ใจ ประโยชน์ สภาชิก แทน ซื่อสัตย์สุจริต อาณัติ ครอบงํา,สิทธิ-เสรีภาพ-หน้าที่,1
83,แนะนำ ยินยอม จะตรา ตรา พระราชบัญญัติ รัฐสภา ย้อนหลัง ร่าง สภานิติบัญญัติแห่งชาติ โทษ,แนวนโยบายแห่งรัฐ,1
84,พระราชทาน คืน พระปรมาภิไธย เสมือน เดิม พระมหากษัตริย์ ปรึกษา ถวาย ทูลเกล้า พระราชบัญญัติ,สถาบันพระมหากษัตริย์,1
85,กรรมาธิการ อัตรา กิจการ อำนาจ สามัญ วิสามัญ สอบสวน เท็จจริง รายงาน สอบ,อื่น ๆ (emergent),0
86,งบ จ่าย คลัง โอน เงิน ชดใช้ รีบ วินัย ถัด วิธีการ,อื่น ๆ (emergent),0
87,ศาล วินิจฉัย ศาลรัฐธรรมนูญ คดี คณะตุลาการรัฐธรรมนูญ น เช่ โต้แย้ง ทางการ คู่,ตุลาการ,2
88,ปัญหา ฟัง อภิปราย สมควร คิดเห็น รัฐสภา แจ้ง ทั่วไป สําคัญ รัฐมนตรี,แนวนโยบายแห่งรัฐ,1
89,สืบราชสมบัติ ชอบ สงคราม รัฐสภา พระองค์ สำเร็จ หนังสือ ปรึกษา สัญญา พระพุทธศักราช,สถาบันพระมหากษัตริย์,1
90,แยก รัฐสภา วุฒิสภา ประชุม ย่อมเริ่มต้น เริ่มต้น สภาผู้แทน สภาผู้ สภาผู้แทนราษฎร สิ้นสุด,นิติบัญญัติ,3
91,เอกสิทธิ์ แถลง เท็จจริง สิทธิ คิดเห็น อนุโลม ประชุม คะแนน เสียง ข้อ,สิทธิ-เสรีภาพ-หน้าที่,1
92,ประเภท เลือก ชื่อ สมัคร ลำดับ คะแนน คน จำนวน บัญชี การเลือกตั้ง,อื่น ๆ (emergent),0
93,พิธี นิติภาวะ บรรลุ พระองค์ ประชุม โปรดเกล้า ทำ พระมหากษัตริย์ สามัญ รัฐ,สถาบันพระมหากษัตริย์,1
94,ท้องถิ่น ปกครอง เจตนารมณ์ ประชาชน หลัก องค์กร ดูแล รูปแบบ กำกับ เลื่อมใสศรัทธา,ท้องถิ่น,1
95,สามัญ ประชุม สามัญนิติบัญญัติ ปี ประจำ ประจําปี รัฐสภา ปฏิทิน สิบ สอง,แนวนโยบายแห่งรัฐ,1
96,ข้อมูล หน่วย ข่าวสาร วิทยุ ลูกจ้าง รัฐ งาน พนักงาน รัฐวิสาหกิจ กิจการ,แนวนโยบายแห่งรัฐ,1
97,ยกเลิก เลขหมวด ทวิ จักร ฉะบับ ธรรมนูญ ลำดับ ทศ อาณาจักรไทย อัฏฐ,อื่น ๆ (emergent),0
98,ห้าม ลักษณะ ทุจริต กรรมการ ไม่ต่ํา ปี ล้มละลาย ผู้ดํารงตําแหน่ง ตรวจ ท้องถิ่น,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1
99,ศาสนา พิธีกรรม นิยม นิกาย เสรีภาพ พลเมือง ปฏิปักษ์ ศีลธรรม รอน แตกต่าง,สิทธิ-เสรีภาพ-หน้าที่,1
100,อภัยโทษ พระราชอำนาจ พระราชทาน พระมหากษัตริย์ ราชทาน สถาปนา อำนาจ ราชอิสริยาภรณ์ จอมทัพ เครื่อง,สถาบันพระมหากษัตริย์,1
