year_th,theme,theme_score
2532,พรรคการเมืองและการเลือกตั้ง,1.0
2532,อื่น ๆ (emergent),1.0
2534,การคลังและงบประมาณ,2.996776963424872
2534,จริยธรรมทางการเมือง,4.906493016392088
2534,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1.0916030534351144
2534,ตุลาการ,16.189323433923782
2534,ทั่วไป/โครงสร้าง,2.4518248575390644
2534,ท้องถิ่น,6.263760495123402
2534,นิติบัญญัติ,69.39893527917218
2534,บริหาร,32.25377468506434
2534,พรรคการเมืองและการเลือกตั้ง,11.487836974538345
2534,สถาบันพระมหากษัตริย์,43.95431437310217
2534,สิทธิ-เสรีภาพ-หน้าที่,28.53720658022471
2534,องค์กรอิสระ/องค์กรตามรัฐธรรมนูญ,2.6449051626439757
2534,แนวนโยบายแห่งรัฐ,33.823245125415944
2535,นิติบัญญัติ,4.075
2535,บริหาร,1.5583333333333333
2535,พรรคการเมืองและการเลือกตั้ง,0.16666666666666669
2535,สถาบันพระมหากษัตริย์,2.052334053192519
2535,อื่น ๆ (emergent),4.0
2535,แนวนโยบายแห่งรัฐ,2.147665946807481
2538,การคลังและงบประมาณ,3.3107094062206746
2538,จริยธรรมทางการเมือง,5.322876399211336
2538,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,0.5266362252663623
2538,ตุลาการ,15.429360910573363
2538,ทั่วไป/โครงสร้าง,1.6387764952512556
2538,ท้องถิ่น,7.063369046339341
2538,นิติบัญญัติ,62.27233944719505
2538,บริหาร,16.101443135505903
2538,พรรคการเมืองและการเลือกตั้ง,8.561460563967401
2538,สถาบันพระมหากษัตริย์,16.592875364202424
2538,สิทธิ-เสรีภาพ-หน้าที่,26.88690509130616
2538,องค์กรอิสระ/องค์กรตามรัฐธรรมนูญ,1.8526376993167342
2538,อื่น ๆ (emergent),1.0
2538,แนวนโยบายแห่งรัฐ,32.44061021564399
2539,การมีส่วนร่วมทางการเมือง,0.35714285714285715
2539,นิติบัญญัติ,0.35714285714285715
2539,บริหาร,0.7142857142857143
2539,พรรคการเมืองและการเลือกตั้ง,1.5714285714285716
2539,สถาบันพระมหากษัตริย์,0.47351059275141666
2539,อื่น ๆ (emergent),2.0
2539,แนวนโยบายแห่งรัฐ,0.5264894072485833
2540,การคลังและงบประมาณ,3.4461318381801265
2540,การมีส่วนร่วมทางการเมือง,1.182403246459647
2540,จริยธรรมทางการเมือง,2.0994579945799456
2540,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,10.455927731446726
2540,ตุลาการ,43.48876538309241
2540,ท้องถิ่น,20.375511915788007
2540,นิติบัญญัติ,91.93918989339558
2540,บริหาร,29.681718192212895
2540,พรรคการเมืองและการเลือกตั้ง,16.67266964685472
